"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" ябес алавовтсвуч и ебес хикзилб аз";"йовотог";"за близких себе и чувствовала себя";"готовой";" ";"отрешиться от прежней жизни, прежних сожалений";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" йовотог ябес алавовтсвуч и ебес хикзилб";"ясьтишерто";"близких себе и чувствовала себя готовой";"отрешиться";" ";"от прежней жизни, прежних сожалений и";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" ясьтишерто йовотог ябес алавовтсвуч и ебес";"то";"себе и чувствовала себя готовой отрешиться";"от";" ";"прежней жизни, прежних сожалений и событий";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" то ясьтишерто йовотог ябес алавовтсвуч и";"йенжерп";"и чувствовала себя готовой отрешиться от";"прежней";" ";"жизни, прежних сожалений и событий и";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" йенжерп то ясьтишерто йовотог ябес алавовтсвуч";"инзиж";"чувствовала себя готовой отрешиться от прежней";"жизни";", ";"прежних сожалений и событий и вражды";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" ,инзиж йенжерп то ясьтишерто йовотог ябес";"хинжерп";"себя готовой отрешиться от прежней жизни,";"прежних";" ";"сожалений и событий и вражды для";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" хинжерп ,инзиж йенжерп то ясьтишерто йовотог";"йинелажос";"готовой отрешиться от прежней жизни, прежних";"сожалений";" ";"и событий и вражды для того";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" йинелажос хинжерп ,инзиж йенжерп то ясьтишерто";"и";"отрешиться от прежней жизни, прежних сожалений";"и";" ";"событий и вражды для того, чтобы";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" и йинелажос хинжерп ,инзиж йенжерп то";"йитыбос";"от прежней жизни, прежних сожалений и";"событий";" ";"и вражды для того, чтобы ввиду";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" йитыбос и йинелажос хинжерп ,инзиж йенжерп";"и";"прежней жизни, прежних сожалений и событий";"и";" ";"вражды для того, чтобы ввиду общего";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" и йитыбос и йинелажос хинжерп ,инзиж";"ыджарв";"жизни, прежних сожалений и событий и";"вражды";" ";"для того, чтобы ввиду общего несчастия";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" ыджарв и йитыбос и йинелажос хинжерп";"ялд";"прежних сожалений и событий и вражды";"для";" ";"того, чтобы ввиду общего несчастия 2512";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" ялд ыджарв и йитыбос и йинелажос";"огот";"сожалений и событий и вражды для";"того";", ";"чтобы ввиду общего несчастия 2512 укрепить";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" ,огот ялд ыджарв и йитыбос и";"ыботч";"и событий и вражды для того,";"чтобы";" ";"ввиду общего несчастия 2512 укрепить себя";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" ыботч ,огот ялд ыджарв и йитыбос";"удивв";"событий и вражды для того, чтобы";"ввиду";" ";"общего несчастия 2512 укрепить себя верою";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" удивв ыботч ,огот ялд ыджарв и";"огещбо";"и вражды для того, чтобы ввиду";"общего";" ";"несчастия 2512 укрепить себя верою и";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" огещбо удивв ыботч ,огот ялд ыджарв";"яитсачсен";"вражды для того, чтобы ввиду общего";"несчастия";" ";"2512 укрепить себя верою и надеждою";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" яитсачсен огещбо удивв ыботч ,огот ялд";"2152";"для того, чтобы ввиду общего несчастия";"2512";" ";"укрепить себя верою и надеждою, забыв";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" 2152 яитсачсен огещбо удивв ыботч ,огот";"ьтиперку";"того, чтобы ввиду общего несчастия 2512";"укрепить";" ";"себя верою и надеждою, забыв всё";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" ьтиперку 2152 яитсачсен огещбо удивв ыботч";"ябес";"чтобы ввиду общего несчастия 2512 укрепить";"себя";" ";"верою и надеждою, забыв всё прежнее";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" ябес ьтиперку 2152 яитсачсен огещбо удивв";"юорев";"ввиду общего несчастия 2512 укрепить себя";"верою";" ";"и надеждою, забыв всё прежнее, соединиться";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
" юорев ябес ьтиперку 2152 яитсачсен огещбо";"и";"общего несчастия 2512 укрепить себя верою";"и";" ";"надеждою, забыв всё прежнее, соединиться всем";"Л. Н. Толстой. Война и мир [Варианты из черновых автографов и копий] (1869)";"Л. Н. Толстой";"1828";"Война и мир [Варианты из черновых автографов и копий]";"1869";"";"";"";"";"";"";"омонимия не снята";"Она ненавидела этих врагов и злодеев, вступающих в русскую землю, 2510 чувствовала наказанье божье за 2511 грехи всех людей и за ее грехи в этом страшном нашествии, боялась за близких себе и чувствовала себя готовой отрешиться от прежней жизни, прежних сожалений и событий и вражды для того, чтобы ввиду общего несчастия 2512 укрепить себя верою и надеждою, забыв всё прежнее, соединиться всем братскою любовью и ничего не жалеть для того, чтобы противустоять общему бедствию, — Наташа не думала о том, что она несколько минут перед этим с любовью молилась за врагов своих, жалея о том, что их было слишком мало, она теперь всей душой молилась за попрание под ноги врагов России и 2513 слушала торжественно и тихо выговариваемые старичком священником славянские слова молитвы, ни малейшего сомнения или противуречия не представлялось в ее прошении."
